green_red_vector_pow_2,green_red_vector_pow_4,green_red_vector_pow_6,green_red_vector_pow_8
334.20734375,111694.54861643066,37329138.404452525,12475672190.628191
341.10265625000005,116351.02210080568,39687642.695987284,13537560343.902174
337.4198437499999,113852.15095627439,38415974.98626751,12962312277.370289
327.1984375,107058.81750244142,35029477.80739649,11461590405.021057
321.3078125,103238.71037353516,33171404.195441637,10658231319.590675
325.81843749999996,106157.65421494139,34588121.02497749,11269447548.419064
328.75390624999994,108079.13087463376,35531436.45914082,11681098530.61621
331.47203125,109873.70750100099,36420061.006325155,12072231600.01552
329.67015624999993,108682.41192189937,35829347.71991943,11811866661.161415
328.9696875,108221.05529384766,35601446.740937285,11711796808.914032
327.1609375,107034.2790258789,35017435.07074313,11456336886.5897
327.8382812499999,107477.93865295405,35235382.68027739,11551507297.088156
327.61249999999995,107329.95015624998,35162633.29556444,11519718200.543106
