magnitudeTimesScarcity_by_prior_holidays_pow_2,magnitudeTimesScarcity_by_prior_holidays_pow_3,magnitudeTimesScarcity_by_prior_holidays_pow_4,magnitudeTimesScarcity_by_prior_holidays_pow_5
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
4277.441249999999,279753.85507855896,18296503.647201553,1196630679.5595498
4398.37453125,291701.2643905877,19345698.517148655,1283011412.0289834
4463.146406250001,298168.4585182138,19919675.843622293,1330769484.0926683
4480.7231249999995,299931.5576132084,20076879.722909763,1343910266.1147728
4520.9053125,303975.1746506484,20438584.844590724,1374242981.9462316
4508.39109375,302713.9079680129,20325590.254204325,1364752686.6372466
4515.865312500002,303466.9995035756,20393039.52064074,1370416096.5466526
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1758.8118750000003,73761.38857008699,3093419.2116410164,129732406.13355827
1770.3675000000003,74489.51429193455,3134201.0850562504,131873815.19322646
1788.2768750000002,75622.69331909707,3197934.181659766,135234313.6877583
1800.9518750000002,76428.11733007002,3243427.6560660163,137643361.2083096
1811.5968749999997,77106.74041345264,3281883.2375097647,139686329.974447
1854.765625,79879.1725669375,3440155.523681641,148157143.4305987
1880.665625,81558.15259147526,3536903.1930566407,153383614.0172922
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1737.8606249999998,72447.33512358324,3020159.55192539,125903371.09745482
1734.7337500000003,72251.89496988953,3009301.1833890635,125337800.70572263
1751.48625,73301.0335676661,3067704.083939062,128385752.40455562
1760.8693749999998,73890.85815815882,3100660.9558128896,130112149.22317074
1759.81125,73824.26546943441,3096935.6356265624,129916772.89609721
1765.065625,74155.144512878,3115456.660556641,130888696.49658833
1753.5312500000002,73429.44824437385,3074871.8447265634,128760832.1667672
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1642.3462499999998,66557.51286646785,2697301.2048890623,109310481.66557021
1657.5131250000002,67481.61442508016,2747349.7595472657,111851661.60575971
1650.3962499999998,67047.46191435456,2723807.7820140617,110654879.71546856
1638.23875,66307.97902503354,2683826.2020015623,108628300.67299716
1637.2256249999998,66246.47893779617,2680507.74715664,108460432.88298266
1639.265625,66370.33319181559,2687191.7893066406,108798605.72113983
1628.1287499999999,65695.12115661302,2650803.226576562,106960115.4898149
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1499.7025,58077.46786191522,2249107.58850625,87098923.74618392
1489.9837500000003,57513.831130479884,2220051.5752640637,85694673.78465918
1498.663125,58017.1020813444,2245991.162234766,86948091.5086716
1507.3975000000003,58525.03552618798,2272247.223006251,88220492.23958696
1477.731875,56805.902214716974,2183691.4943910153,83943892.39082037
1420.5093749999996,53538.49471823125,2017846.8844628895,76051933.67063546
1398.79875,52315.7978900557,1956637.9430015623,73179272.69386254
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
990.0056249999999,31149.888270770294,980111.1375316405,30838564.60618411
942.9150000000001,28954.01645616565,889088.6972250002,27301176.42676544
918.1562500000001,27821.13811681943,843010.8994140627,25544151.844070997
910.58625,27477.779374389556,829167.3186890624,25020888.07885273
905.270625,27237.52503041655,819514.9044878907,24657331.307738334
922.7362500000002,28029.566011326184,851442.1870640629,25863896.630418587
927.9706249999999,28268.407499579134,861129.4808628904,26232251.775139134
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
